title,author,rating,format,year
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.52,Kindle Edition,2014
The Help,Kathryn Stockett,4.58,Hardcover,2009
My Side of the Mountain Trilogy (My Side of the Mountain / On the Far Side of the Mountain / Frightful's Mountain),Jean Craighead George,4.37,Paperback,2004
Guess How Much I Love You,Sam McBratney,4.36,Board book,2005
Alexander and the Terrible Horrible No Good Very Bad Day,Judith Viorst,4.36,Paperback,1987
Outliers: The Story of Success,Malcolm Gladwell,4.36,Hardcover,2008
Anne Frank: The Diary of a Young Girl,Anne Frank,4.36,Mass Market Paperback,1993
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R.R. Martin,4.55,Paperback,2005
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.36,Paperback,2004
The Brief Wondrous Life of Oscar Wao,Junot Díaz,4,Hardcover,2007
The Color Purple,Alice Walker,4.34,Paperback,2004
The Outsiders,S.E. Hinton,4.38,Mass Market Paperback,1988
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R.R. Martin,4.62,Mass Market Paperback,2005
On Writing: 10th Anniversary Edition: A Memoir of the Craft,Stephen King,4.51,Mass Market Paperback,2002
Where the Sidewalk Ends: Poems and Drawings,Shel Silverstein,4.6,Hardcover,2002
Where the Wild Things Are,Maurice Sendak,4.22,Paperback,2000
One Hundred Years of Solitude (Harper Perennial Modern Classics),Gabriel García Márquez,4.05,Hardcover,2003
The Heroes of Olympus Paperback Boxed Set,Rick Riordan,4.57,Paperback,2010
All the Light We Cannot See: A Novel,Anthony Doerr,4.46,Hardcover,2014
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.5,Hardcover,2007
Ender's Game (The Ender Quartet series Book 1),Orson Scott Card,4.4,Mass Market Paperback,1994
The Story of Ferdinand,Munro Leaf,4.53,Hardcover,1936
Jane Austen: Pride and Prejudice Mansfield Park Persuasion,Jane Austen,4.48,Hardcover,2004
