tableA_title, tableA_author, tableB_title, tableB_author
Six of Crows (Six of Crows #1),Leigh Bardugo,Six of Crows,Leigh Bardugo
The Time Quartet Box Set (Time Quartet #1-4),Madeleine L'Engle,The Wrinkle in Time Quintet Boxed Set (A Wrinkle in Time A Wind in the Door A Swiftly Tilting Planet Many Waters An Acceptable Time),Madeleine L'Engle
The Husband's Secret,Liane Moriarty,The Husband's Secret,Liane Moriarty
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet Weight Loss and Long-term Health,T. Colin Campbell,The China Study: Revised and Expanded Edition: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet Weight Loss and Long-Term Health,T. Colin Campbell and 
It Ends with Us,Colleen Hoover,It Ends with Us: A Novel,Colleen Hoover
The Case for a Creator: A Journalist Investigates Scientific Evidence That Points Toward God,Lee Strobel,The Case for Christ: A Journalist's Personal Investigation of the Evidence for Jesus (Case for ... Series),Lee Strobel
Being Mortal: Medicine and What Matters in the End,Atul Gawande,Being Mortal: Medicine and What Matters in the End,Atul Gawande
Little House in the Big Woods (Little House #1),Laura Ingalls Wilder,The Little House (9 Volumes Set),Laura Ingalls Wilder and 
The Elements of Style,William Strunk Jr.,The Elements of Style Fourth Edition,William Strunk Jr. and 
Tolkien on Fairy-stories,J.R.R. Tolkien,Tolkien on Fairy-Stories,J.R.R. Tolkien
Fahrenheit 451,Ray Bradbury,Fahrenheit 451,Ray Bradbury
Calvin and Hobbes,Bill Watterson,The Complete Calvin and Hobbes,Bill Watterson
Who Moved My Cheese?,Spencer Johnson,Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson and 
The Picture of Dorian Gray,Oscar Wilde,The Picture of Dorian Gray (Dover Thrift Editions),Oscar Wilde
Thirteen Reasons Why,Jay Asher,Thirteen Reasons Why,Jay Asher
Harry Potter and the Goblet of Fire (Harry Potter #4),J.K. Rowling,Harry Potter And The Goblet Of Fire,J.K. Rowling and 
It,Stephen King,It,Stephen King
Hatchet,Gary Paulsen,Hatchet,Gary Paulsen
The Adventures of Huckleberry Finn,Mark Twain,The Adventures of Huckleberry Finn (Bantam Classic), Mark Twain
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Douglas Adams,The Hitchhiker's Guide to the Galaxy,Douglas Adams
Harry Potter and the Order of the Phoenix (Harry Potter #5),J.K. Rowling,Harry Potter And The Order Of The Phoenix,J.K. Rowling and 
Little House on the Prairie (Little House #2),Laura Ingalls Wilder,The Little House (9 Volumes Set),Laura Ingalls Wilder and 
Les Misrables,Victor Hugo,Les Misrables,Victor Hugo
The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz
Pride and Prejudice,Jane Austen,Pride and Prejudice,Jane Austen
Brave New World / Brave New World Revisited,Aldous Huxley,Brave New World,Aldous Huxley
The Voyage of the Dawn Treader (Chronicles of Narnia #3),C.S. Lewis,The Lion the Witch and the Wardrobe (The Chronicles of Narnia), C. S. Lewis
The Immortal Life of Henrietta Lacks,Rebecca Skloot,The Immortal Life of Henrietta Lacks,Rebecca Skloot
The Remains of the Day,Kazuo Ishiguro,The Remains of the Day (Vintage International),Kazuo Ishiguro
Pippi Longstocking,Astrid Lindgren,Pippi Longstocking,Astrid Lindgren and 
The Alchemist,Paulo Coelho,The Alchemist,Paulo Coelho
Crime and Punishment,Fyodor Dostoyevsky,Crime and Punishment,Fyodor Dostoyevsky
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,The Purpose Driven Life: What on Earth Am I Here For?,Rick Warren
Wonder,R.J. Palacio,Wonder,R. J. Palacio
